VC Name,Partner,Linkedin,Linkedin Request?,Connected?
Rebel Fund,Jared Heyman,https://www.linkedin.com/in/jaredheyman,1,
Ride Ventures,Greg Arrese,https://www.linkedin.com/in/greg-arrese,1,
Sierra Ventures,Mark Fernandes,https://www.linkedin.com/in/markjfernandes,1,
Silent Ventures,Jackson Moses,https://www.linkedin.com/in/jacksonmoses,1,
Singularity Capital,Sudeep Mishra,https://www.linkedin.com/in/sudeepmishra?trk=org-employees,1,
Susa Ventures,Chad Byers,https://www.linkedin.com/in/chadabyers,1,
StepChange,Anay Shah,https://www.linkedin.com/in/anayshah/,1,
Streamlined Ventures,Ullas Naik,https://www.linkedin.com/in/ullasnaik,1,
Storm Ventures,Ryan Floyd,https://www.linkedin.com/in/ryanfloyd1,1,
Stellar Ventures,Celeste Ford,https://www.linkedin.com/in/ceford,1,
TQ Ventures,Andrew Marks,https://www.linkedin.com/in/andrew-marks-92429015,1,
TTV Capital,Gardiner Garrard,https://www.linkedin.com/in/gardinergarrard,1,
Titan Capital,Kunal Bahl,https://www.linkedin.com/in/kunalbahl/,1,
Transpose Platform Management,Trang Nguyen,https://www.linkedin.com/in/trangnguyen2010?trk=org-employees,1,
Tokyo Black,Keenan Rice,https://www.linkedin.com/in/keenanrice,1,
Upfront Ventures,Mark Suster,https://www.linkedin.com/in/marksuster,1,
Unusual Ventures,John Vrionis,https://www.linkedin.com/in/johnvrionis/,1,
Variant,Jesse Walden,https://www.linkedin.com/in/jessewalden,1,
Valhalla Ventures,Matthew King,https://www.linkedin.com/in/matthewtking/,1,
VamosVentures,Marcos Gonzalez,https://www.linkedin.com/in/marcos-gonzalez-b567042,1,
Village Global,Anne Dwane,https://www.linkedin.com/in/dwane,1,
Y Combinator,Harj Taggar,https://www.linkedin.com/in/garrytan,1,
Zenda,Esteban Reyes,https://www.linkedin.com/in/reyesesteban,1,
